sentence1,sentence2,label,idx,label_ok,CosCls,EucCls,IcmCls,CosAvg,EucAvg,IcmAvg,CosSum,EucSum,IcmSum,CosF_ind,EucF_ind,IcmF_ind,CosF_joint,EucF_joint,IcmF_joint,CosF_inf,EucF_inf,IcmF_inf,model
A plane is taking off.,An air plane is taking off.,5.0,0,1.0,0.018973946571350098,0.30201793755640205,0.022559302797962755,0.8869305849075317,0.6625840582012403,0.1728702072678699,0.8869305849075317,0.5036577668339713,0.22882663575988665,0.9069391489028931,0.5444386833507951,0.3276142420927208,0.9170339107513428,0.6039172597758471,0.4446532670180338,0.9151391983032227,0.5873303206254572,0.40091206134143204,word2vec-google-news-300
A man is playing a large flute.,A man is playing a flute.,3.799999952316284,1,0.7333333227369521,1.0,1.0,0.3212026086663813,0.9455053806304932,0.7462398678904598,0.36401994600680726,0.9455053806304932,0.7332259763281744,0.27216935245524676,0.9398365616798401,0.6798562007202658,0.3586775372835534,0.9369052052497864,0.6780854877777582,0.46657527705345053,0.937034547328949,0.6790189348190396,0.39654187025980153,word2vec-google-news-300
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,3.799999952316284,2,0.7333333227369521,1.0,1.0,0.3212026086663813,0.8918043375015259,0.6691510491916628,0.2107428454458164,0.8918043375015259,0.10984747289078933,0.7404647216070465,0.8874256610870361,0.25176076730247343,0.7630409490188399,0.8860118389129639,0.39101511099423925,0.8021881184874229,0.8862975835800171,0.3149244364839271,0.8151482604560509,word2vec-google-news-300
Three men are playing chess.,Two men are playing chess.,2.5999999046325684,3,0.4666666454739041,0.9999999403953552,1.0,0.4880961672434772,0.9951107501983643,1.0,0.4209103691714227,0.9951106309890747,1.0,0.412931835109943,0.9964120388031006,1.0,0.4707749811704259,0.9970594644546509,1.0,0.5487612833723319,0.9969164729118347,1.0,0.4846799566969449,word2vec-google-news-300
A man is playing the cello.,A man seated is playing the cello.,4.25,4,0.8333333333333333,0.008120682090520859,0.20445407917347636,0.018805799280502175,0.9246477484703064,0.7479816473986012,0.2137641872777684,0.9246476888656616,0.5808041840726309,0.3534299054241929,0.9404506087303162,0.6348598385560136,0.4285742285522037,0.9491689205169678,0.6967162654545761,0.5253259197227249,0.9455041885375977,0.6636614338084378,0.4823373103345598,word2vec-google-news-300
Some men are fighting.,Two men are fighting.,4.25,5,0.8333333333333333,0.9999999403953552,1.0,0.4880961672434772,0.9386787414550781,0.7550044957413728,0.3270182255534834,0.9386787414550781,0.7756473462086694,0.174425666675944,0.9481468796730042,0.7830106810516259,0.18793276980398227,0.9535305500030518,0.8075396841783429,0.20170796502337013,0.9523564577102661,0.8031567099824293,0.18634573757850476,word2vec-google-news-300
A man is smoking.,A man is skating.,0.5,6,0.0,1.0,1.0,0.3212026086663813,0.538836658000946,0.0,0.16935840699554722,0.538836658000946,0.2858153226269635,0.0,0.5131120085716248,0.10149795738659462,0.0013704126245058512,0.49909836053848267,0.06509018469482375,0.006734843538430346,0.5017616152763367,0.08134399392902003,0.005409740404939023,word2vec-google-news-300
The man is playing the piano.,The man is playing the guitar.,1.600000023841858,7,0.24444444974263507,1.0,1.0,0.476706249717425,0.9365093111991882,0.8134830693295052,0.09249213707976045,0.9365093111991882,0.6885407152666891,0.33238095687762,0.9097098708152771,0.6019592485862162,0.3284844844226333,0.890838623046875,0.5868333918885668,0.3444128322913394,0.8992114663124084,0.5943756379370162,0.33773387335371036,word2vec-google-news-300
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,2.200000047683716,8,0.37777778837415904,1.0,1.0,0.3212026086663813,0.9034126400947571,0.6608848897353168,0.31337509911803013,0.9034125804901123,0.32836432771227875,0.6631268662354031,0.9136620759963989,0.4461508375088966,0.6441271536286453,0.9211265444755554,0.577756036818826,0.612377899722389,0.9183051586151123,0.5141643397001616,0.6466308695043879,word2vec-google-news-300
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,5.0,9,1.0,0.12662886083126068,0.22442833182355715,0.07950546652678449,0.9305465817451477,0.7848785148342242,0.12107500203367766,0.9305465221405029,0.6024165432333211,0.44313034854948863,0.9432475566864014,0.6407050159946238,0.552888534319572,0.9499465227127075,0.687198851425469,0.6883361757192044,0.9475796222686768,0.6648830975788853,0.6490453211192599,word2vec-google-news-300
The man hit the other man with a stick.,The man spanked the other man with a stick.,4.199999809265137,10,0.8222221798366971,1.0,1.0,0.476706249717425,0.9112175107002258,0.7761061047270976,0.03153473863630313,0.9112175107002258,0.4653985117266174,0.590348075681851,0.9394055604934692,0.6481014086765092,0.4487488849462154,0.9561622142791748,0.7708340869532277,0.34731651327513074,0.9480310678482056,0.7026299944188867,0.43223805640235263,word2vec-google-news-300
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,4.599999904632568,11,0.9111110899183483,1.0000001192092896,1.0,0.7684825499831859,0.9339174032211304,0.7357157909824616,0.26001149122933725,0.9339175224304199,0.33330551874413294,0.8129335497603134,0.8966296911239624,0.31269496608253344,0.8558652472709887,0.8649728298187256,0.3212776724407578,0.9155198674648664,0.883084774017334,0.3083418833369399,0.9533428542610303,word2vec-google-news-300
A man is playing a flute.,A man is playing a bamboo flute.,3.867000102996826,12,0.7482222451104057,1.0,1.0,0.3212026086663813,0.8953325748443604,0.6134396205252797,0.4109515254863531,0.8953325748443604,0.5142344027809495,0.2977364875610813,0.8854315876960754,0.4638744250060164,0.3809505419819567,0.8802223801612854,0.48652764382384894,0.4782849384207864,0.8810031414031982,0.4801444759158213,0.41447287595855803,word2vec-google-news-300
A person is folding a piece of paper.,Someone is folding a piece of paper.,4.666999816894531,13,0.9259999593098958,1.0,1.0,0.3212026086663813,0.9627740979194641,0.8366767018789663,0.3222681151266848,0.9627741575241089,0.7915505972036905,0.3457595785174023,0.9700721502304077,0.8177798760502487,0.362188653853836,0.9739328026771545,0.8501355194394291,0.3727415011377346,0.9730491042137146,0.837018839139715,0.37975296076056125,word2vec-google-news-300
A man is running on the road.,A panda dog is running on the road.,1.6670000553131104,14,0.2593333456251356,0.06928110867738724,0.23223539036847907,0.04845109299184303,0.7473493218421936,0.5126606358150105,0.002564619633846743,0.7473492622375488,0.09694969554422761,0.3075513699310959,0.8043580055236816,0.21821899769868414,0.341392449185065,0.838131844997406,0.364918637406779,0.36663514477717446,0.824293851852417,0.2858419349762523,0.3867078604424527,word2vec-google-news-300
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,3.75,15,0.7222222222222221,1.0,1.0,0.3212026086663813,0.8944336771965027,0.7221539124878484,0.07404311662818513,0.8944336771965027,0.3215854849919051,0.7644982386316195,0.8836948871612549,0.36903397304050845,0.6687322931618311,0.878126323223114,0.4673770267144557,0.5920416683763208,0.8798040151596069,0.40018920833886873,0.7070453406413129,word2vec-google-news-300
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,5.0,16,1.0,0.15844905376434326,0.08110265069214107,0.14849955563534575,0.9634820222854614,0.8321670545072415,0.2463853754625191,0.9634820222854614,0.6556475663517171,0.8272913030282547,0.9625439643859863,0.6756100256611856,0.8102340199016702,0.9630095958709717,0.7202075129200044,0.8329369689803128,0.9619045257568359,0.6887210650967647,0.8745990826654604,word2vec-google-news-300
A woman is writing.,A woman is swimming.,0.5,17,0.0,1.0,1.0,0.3212026086663813,0.6870111227035522,0.2093148801437923,0.275463260376888,0.687011182308197,0.4461043413565885,0.026011453201807228,0.6706973910331726,0.3165110035814619,0.04133212976871575,0.6618518233299255,0.2969800861001438,0.06329442114878286,0.6644801497459412,0.31095414447359737,0.052424734351419644,word2vec-google-news-300
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,3.799999952316284,18,0.7333333227369521,1.0,1.0,0.3212026086663813,0.9619812965393066,0.8162481730037232,0.39463468306178345,0.9619811773300171,0.692796293138444,0.5012304894324524,0.948009192943573,0.6437845129224803,0.5817844664256382,0.9378907680511475,0.6400175384899489,0.6753405561970391,0.9420484304428101,0.6344483138207009,0.6523633969583968,word2vec-google-news-300
The man is riding a horse.,A man is riding on a horse.,5.0,19,1.0,0.13226747512817383,0.37463128821051095,0.06458228897464136,0.975873589515686,0.8877401461273824,0.33255643360593484,0.9758734703063965,0.8567228175088276,0.3527656647807169,0.9751203060150146,0.84135690773388,0.3667745655868387,0.9744586944580078,0.8487633393474265,0.3795962728899725,0.9743101000785828,0.8445597311537067,0.3515665942667769,word2vec-google-news-300
A man pours oil into a pot.,A man pours wine in a pot.,3.200000047683716,20,0.6000000105963812,1.0000001192092896,1.0,1.0,0.837019681930542,0.46498806518715485,0.426846807430108,0.8370198011398315,0.3171644741790496,0.41697439256646873,0.843466579914093,0.3087575407241002,0.5172803957578251,0.8478758931159973,0.36675017463334436,0.6313019797931287,0.8461333513259888,0.3445202466541675,0.5821602991676089,word2vec-google-news-300
A man is playing a guitar.,A girl is playing a guitar.,2.799999952316284,21,0.5111111005147297,1.0,1.0,0.3212026086663813,0.9258938431739807,0.670558276734607,0.5024895446158477,0.9258938431739807,0.6894244137489146,0.25089952877763155,0.9341132640838623,0.6725272753680259,0.3403906552160267,0.9385136365890503,0.692083134226269,0.4484141386964973,0.9374765753746033,0.6900302055574096,0.38056738939775253,word2vec-google-news-300
A panda is sliding down a slide.,A panda slides down a slide.,4.599999904632568,22,0.9111110899183483,0.07899021357297897,0.2303331367728486,0.05353983556692713,0.9167827367782593,0.5192606269738571,0.7922959346972784,0.9167827367782593,0.5315699079173546,0.5054833193510636,0.9229506254196167,0.549601560751337,0.5761512491716774,0.9264280796051025,0.6062893110848774,0.6353040159566485,0.9249638915061951,0.5723414907493638,0.6475416742539013,word2vec-google-news-300
A woman is eating something.,A woman is eating meat.,3.0,23,0.5555555555555556,1.0,1.0,0.3212026086663813,0.8401553630828857,0.4778716966634724,0.3769711468649813,0.8401553630828857,0.4926837878833158,0.1961961351283652,0.821311354637146,0.4251969782689732,0.21971893460778968,0.8105093240737915,0.44339960838744397,0.24148268724016125,0.8124873042106628,0.4387249952433194,0.22906307496793726,word2vec-google-news-300
A woman peels a potato.,A woman is peeling a potato.,5.0,24,1.0,0.0636541098356247,0.17042963088171859,0.04896220309824304,0.8551567792892456,0.3925343667942779,0.6070306518944373,0.8551568984985352,0.5452875987092713,0.18836581560368282,0.8589016199111938,0.47698831387183105,0.29281360137644213,0.86076819896698,0.48246307923225085,0.42023424417274174,0.8604634404182434,0.4829428622854345,0.36065276359904536,word2vec-google-news-300
The boy fell off his bike.,A boy falls off his bike.,4.800000190734863,25,0.9555555979410806,0.06808619946241379,0.10866253639389944,0.06433296294695115,0.9221968650817871,0.7046546376091395,0.29467229659611766,0.9221968650817871,0.5840641248474209,0.4195449599550447,0.9343421459197998,0.617802817609021,0.5062065548427903,0.941292405128479,0.6685446461493754,0.61081972792956,0.93855220079422,0.644544604411107,0.5796904228734734,word2vec-google-news-300
The woman is playing the flute.,A woman is playing a flute.,5.0,26,1.0,0.09901373833417892,0.3029371563453821,0.05763440916991759,0.9534529447555542,0.7061621839630536,0.2871041645918086,0.9534530639648438,0.738447274421194,0.3035047536403601,0.9584988355636597,0.7552291813854224,0.3823996447441342,0.960386335849762,0.7713930733260732,0.4785192872381235,0.9592095613479614,0.7628396362659023,0.4306712433539471,word2vec-google-news-300
A rabbit is running from an eagle.,A hare is running from a eagle.,4.199999809265137,27,0.8222221798366971,1.0,1.0,0.3212026086663813,0.8798516988754272,0.6393178763124345,0.19340412749144525,0.879851758480072,0.4953698804298682,0.3367924540805034,0.8881843090057373,0.4763764145255668,0.4525302471185914,0.8933122158050537,0.507806345867677,0.60464734909079,0.8910140991210938,0.4947844836770049,0.535596724648286,word2vec-google-news-300
The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,4.199999809265137,28,0.8222221798366971,0.09901373833417892,0.3029371563453821,0.05763440916991759,0.9558502435684204,0.7409637533336921,0.6078377558537607,0.9558502435684204,0.5524822382390884,0.9999999999999999,0.9633108973503113,0.6402099177961256,1.0,0.9681411385536194,0.7264534044871643,1.0,0.9671814441680908,0.6983645702646921,1.0,word2vec-google-news-300
A girl is flying a kite.,A girl running is flying a kite.,4.0,29,0.7777777777777777,0.13519683480262756,0.3974548456092113,0.06276135093455183,0.9563507437705994,0.7486776064918306,0.5337084930182134,0.9563508629798889,0.7323629026876872,0.3646113310060475,0.9614708423614502,0.7351627175323043,0.4778613291250097,0.9640080332756042,0.7594290581185607,0.6025855751831486,0.9630723595619202,0.7496699202269393,0.5337207563292123,word2vec-google-news-300
A man is riding a mechanical bull.,A man rode a mechanical bull.,4.0,30,0.7777777777777777,0.05411577597260475,0.18553386335306732,0.04299355910511922,0.9126437902450562,0.5869743784948789,0.5171136829637109,0.9126437902450562,0.5907275552954991,0.3555708990533142,0.9240851998329163,0.5871786233419387,0.4861689314062015,0.9300610423088074,0.618888404186267,0.6465920697571887,0.9288355708122253,0.613919546649477,0.560699504330586,word2vec-google-news-300
The man is playing the guitar.,A man is playing a guitar.,4.908999919891357,31,0.979777759975857,0.13226747512817383,0.37463128821051095,0.06458228897464136,0.951084554195404,0.7053870627389973,0.2624656365487235,0.9510847330093384,0.738447274421194,0.2873978084945933,0.9582863450050354,0.7641980695196965,0.3472615292263476,0.9614918828010559,0.7860023700691855,0.42741816448423015,0.9596585035324097,0.7760327264235728,0.37772794044472363,word2vec-google-news-300
A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,3.0,32,0.5555555555555556,1.0,1.0,0.3212026086663813,0.8372085690498352,0.5876836269600574,0.14555059828137124,0.8372085690498352,0.21167036262021421,0.5723060606181091,0.7576690912246704,0.09170927452980449,0.46807377090365093,0.6909937858581543,0.11286035350402834,0.36509260082850986,0.7200767397880554,0.09810676214135483,0.4304200932638034,word2vec-google-news-300
A man is slicing a bun.,A man is slicing an onion.,2.4000000953674316,33,0.42222224341498477,1.0,1.0,0.3212026086663813,0.7755536437034607,0.3915274363974379,0.27616544937434945,0.7755537629127502,0.32074347040035067,0.2243084077839494,0.7491040229797363,0.21233520654729643,0.28300004841831167,0.733692467212677,0.21648764512103869,0.3556306640608327,0.7371208071708679,0.22076638189989595,0.30904700181095085,word2vec-google-news-300
A man is pouring oil into a pan.,A man is pouring oil into a skillet.,4.199999809265137,34,0.8222221798366971,1.0,1.0,0.3212026086663813,0.8571159839630127,0.5372238604060556,0.2694122139261687,0.8571159839630127,0.2654333763932989,0.5058678317674516,0.8331469893455505,0.13806759674425073,0.6798724081980922,0.8190932273864746,0.13654353660065477,0.897777789404955,0.8245900869369507,0.15329386989400162,0.787268524829527,word2vec-google-news-300
A lion is playing with people.,A lion is playing with two men.,3.4000000953674316,35,0.644444465637207,1.0,1.0,0.3212026086663813,0.8792386651039124,0.6905363490582609,0.09134477223189852,0.8792386651039124,0.5354766871497759,0.25339343389964836,0.8542411923408508,0.4565728065887794,0.2983390193705637,0.8383448719978333,0.4574642616240122,0.3493272040974417,0.8470121622085571,0.44859760473718546,0.3559466585706244,word2vec-google-news-300
A dog rides a skateboard.,A dog is riding a skateboard.,5.0,36,1.0,0.0985056459903717,0.2422417955660845,0.06270986865749072,0.9009803533554077,0.3768958591443945,1.0,0.9009804725646973,0.576711564160968,0.31681367101508623,0.9075195789337158,0.5828786344207143,0.3529981440754549,0.9112284183502197,0.6285213595011083,0.3791710165313676,0.9106436371803284,0.6214500802953176,0.3411370496366149,word2vec-google-news-300
Someone is carving a statue.,A man is carving a statue.,3.75,37,0.7222222222222221,1.0,1.0,0.3212026086663813,0.9404429793357849,0.6926870159625345,0.6417639664241712,0.9404429793357849,0.7120187324799432,0.3115980690551829,0.9481824636459351,0.7070891083289712,0.40823480040817556,0.9521474838256836,0.7302041328487482,0.5180838252776729,0.9516226053237915,0.73354226640946,0.43078400003949285,word2vec-google-news-300
A woman is slicing an onion.,A man is cutting an onion.,2.75,38,0.49999999999999994,1.0,1.0,0.3212026086663813,0.9104079604148865,0.6914918655329039,0.26323548809405245,0.9104079604148865,0.606251244071457,0.3055602632510169,0.9173058867454529,0.5709478505142112,0.4570875480310897,0.9214073419570923,0.5873626188785487,0.6474865056663672,0.919741153717041,0.579887372134402,0.5615489380283647,word2vec-google-news-300
A woman peels shrimp.,A woman is peeling shrimp.,5.0,39,1.0,0.0636541098356247,0.17042963088171859,0.04896220309824304,0.8632230758666992,0.3875170654140948,0.6762375594042958,0.8632231950759888,0.5452875987092713,0.21098714823989068,0.8674095273017883,0.45752076257069363,0.36783349814660854,0.8694998621940613,0.4511986038802601,0.5679216399240059,0.8691582679748535,0.4582632637972057,0.46920738333020867,word2vec-google-news-300
A woman is frying fish.,A woman is cooking fish.,4.0,40,0.7777777777777777,1.0,1.0,0.3212026086663813,0.8903772234916687,0.5746274250153567,0.490553662102359,0.8903772234916687,0.5914752166636911,0.24569763573735598,0.8895013928413391,0.5308926302382465,0.34677767831122913,0.8890977501869202,0.5395907432407246,0.46352970625986717,0.889480710029602,0.5372970162347694,0.4079685542360218,word2vec-google-news-300
A woman is playing an electric guitar.,A woman is playing a guitar.,3.5999999046325684,41,0.6888888676961262,1.0,1.0,0.3212026086663813,0.8828222751617432,0.598692967942654,0.299888109713681,0.8828222155570984,0.44277935634406396,0.3118619761121868,0.8730793595314026,0.3954851663009009,0.4255744525388013,0.8676021099090576,0.4162578399180854,0.5654021836022469,0.8695096969604492,0.40627813914600663,0.497258666192752,word2vec-google-news-300
A baby tiger is playing with a ball.,A baby is playing with a doll.,1.600000023841858,42,0.24444444974263507,0.05722462385892868,0.1292848701982201,0.047361797312295124,0.7807096838951111,0.45124217673278466,0.20349216672964093,0.7807096242904663,0.18781458514775395,0.345036029194449,0.7617630958557129,0.13705852016172482,0.3908066166820268,0.7479158043861389,0.18501653338812807,0.43973118455754195,0.7541860938072205,0.16588389694256156,0.42196951261175114,word2vec-google-news-300
A person is slicing a tomato.,A person is slicing some meat.,1.75,43,0.27777777777777773,1.0,1.0,0.3212026086663813,0.8223105669021606,0.4872199724673981,0.257765892906152,0.8223106265068054,0.4436856770211224,0.21428482678552258,0.8003998398780823,0.3520312992942345,0.26541747422679984,0.7879565954208374,0.35721478384474603,0.3257281267323156,0.7906167507171631,0.35893112297326546,0.28795387230580244,word2vec-google-news-300
A person cuts an onion.,A person is cutting an onion.,5.0,44,1.0,0.07871929556131363,0.2112783710462759,0.05469166901252043,0.8793147802352905,0.5849244131354874,0.31359348189190567,0.8793148994445801,0.5569911325881085,0.2446982927714979,0.8929929733276367,0.518074264276437,0.40012469168622705,0.8997361660003662,0.5296697193021229,0.6002787126181279,0.8975856304168701,0.5265990454587492,0.50851391512866,word2vec-google-news-300
A man is playing the piano.,A woman is playing the violin.,1.0,45,0.1111111111111111,1.0,1.0,0.3212026086663813,0.9084129929542542,0.7076432366250498,0.2113507155124374,0.9084129929542542,0.6268651872091374,0.2702283599526591,0.9046977758407593,0.5842148608846996,0.3239870627600148,0.9018000364303589,0.5939965661911717,0.3921308365867246,0.903269350528717,0.5929298592116767,0.3552399378121635,word2vec-google-news-300
A woman is playing the flute.,A man is playing the guitar.,1.0,46,0.1111111111111111,1.0,1.0,0.3212026086663813,0.8397383689880371,0.5843110607782941,0.16217201720301272,0.8397382497787476,0.4694563950627212,0.23673920880233573,0.8237658739089966,0.3972630504382424,0.2813750866941081,0.8132836818695068,0.4056445593268576,0.3393292391594395,0.8178218007087708,0.40713105043350484,0.3092221954074483,word2vec-google-news-300
A man is cutting up a potato.,A man is cutting up carrots.,2.375,47,0.4166666666666667,1.0,1.0,0.3212026086663813,0.8684743642807007,0.6409731154304429,0.1603618539842217,0.8684743642807007,0.5417742111950576,0.23550656570275152,0.8528950810432434,0.4374408852524325,0.33237908564800683,0.8441104888916016,0.4259027980922502,0.4514468354510554,0.8469994068145752,0.4316061389411171,0.3945892722728393,word2vec-google-news-300
A kid is playing guitar.,A boy is playing a guitar.,3.799999952316284,48,0.7333333227369521,1.0,1.0,0.3212026086663813,0.932888388633728,0.6666005529271777,0.6153146574564508,0.932888388633728,0.6853834210726765,0.30007093848198935,0.9412006139755249,0.6924413910574028,0.36969000404371805,0.9457159042358398,0.7197663527808835,0.45030779280039673,0.9444855451583862,0.7160936766073942,0.39388917106109206,word2vec-google-news-300
